ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm)
1356,4.4304,4.9168,17.7179,1.1692,1.0926,13.3446
1357,4.5532,0.3842,6.2766,0.3717,0.1574,6.8869
1358,2.3977,2.9593,6.3518,1.4563,3.9962,1.7939
1359,1.7457,1.8117,14.9537,1.6447,3.5412,5.4327
1360,3.1656,4.2331,4.9598,1.8766,1.7381,4.7815
1361,4.6056,1.87,18.2844,1.263,0.4887,0.9105
1362,1.448,1.3764,10.9282,1.0775,1.8673,19.5133
1363,3.3033,4.302,6.3524,1.2764,0.9885,5.4797
1364,3.342,1.9358,15.6339,1.8922,4.6693,16.8124
1365,3.799,0.1825,6.5903,1.2934,2.6952,9.9548
1366,1.0921,2.0124,19.2839,0.5894,4.8228,19.4597
1367,3.7212,3.3072,19.6683,1.3087,1.8214,3.4163
1368,4.5906,1.3464,13.5025,1.7715,2.8267,2.6581
1369,1.3086,2.2167,2.7159,1.1773,1.0316,0.548
1370,1.5689,0.3779,5.6326,1.0551,4.0613,14.5097
1371,4.8713,2.9817,10.5506,1.4934,0.3014,6.4743
1372,1.3144,3.8058,17.1032,1.3559,3.5085,17.4719
1373,4.3447,2.1252,4.1053,0.2077,2.0191,12.8592
1374,2.7153,2.1591,2.5359,1.4781,2.9342,11.7599
1375,1.6125,0.5326,1.9523,0.8743,3.0021,9.9944
1376,4.4184,1.0895,10.3859,1.8877,3.5829,5.5344
1377,2.5039,0.8579,17.7517,1.9445,1.1009,1.7614
1378,2.8167,2.4603,1.326,0.9526,2.7038,9.1496
1379,2.1166,2.6934,4.6403,1.9407,2.1919,2.4328
1380,3.1683,4.7498,14.0185,0.6906,1.4827,18.1618
1381,1.2359,0.4588,16.6043,1.397,2.5291,16.6719
1382,2.2599,3.0394,16.2443,0.2426,4.7649,12.5853
1383,4.8624,2.6798,15.8088,0.3755,4.7495,9.3226
1384,1.6616,2.6295,3.0311,1.7426,1.4662,9.3568
1385,3.4553,4.3785,8.2461,1.7982,4.4326,9.558
1386,1.9634,1.1071,19.7025,1.112,4.3961,15.0365
1387,3.9806,0.2998,19.7833,0.7456,1.323,2.961
1388,1.0889,3.3941,12.2473,0.9569,3.0349,10.8603
1389,4.8642,1.7913,14.3307,1.7523,4.3627,16.347
1390,2.5421,0.1862,19.05,0.5009,2.6235,10.4475
1391,1.5622,1.3317,9.2736,0.6603,1.9119,0.768
1392,0.8307,1.6157,3.1689,1.5923,3.2888,5.2715
1393,1.2639,3.1225,13.5445,1.877,0.9449,13.5374
1394,2.839,0.9457,19.222,0.2766,0.8925,18.7169
1395,2.0165,2.124,14.0955,1.6272,4.18,17.9281
1396,4.23,2.4641,16.1648,1.3256,0.3052,16.5427
1397,2.439,2.3503,8.7436,0.5385,4.0378,19.0282
1398,1.6192,4.8723,2.381,1.5361,1.5234,5.9584
1399,3.2772,0.323,3.7932,1.483,2.4673,0.7418
1400,3.6805,4.7597,19.6618,0.3699,2.7632,7.4103
1401,1.2517,2.9515,10.1171,1.0543,3.8586,11.7517
1402,1.2543,3.9991,0.7344,1.5408,4.4309,6.6711
1403,0.665,2.2089,19.1297,0.4639,4.0407,1.362
1404,3.8138,2.3238,10.2067,0.9793,2.9045,10.3901
1405,3.4871,4.4087,16.8072,0.3294,1.8053,4.3941
1406,2.6358,4.4901,11.1949,0.683,2.6801,14.6876
1407,4.2988,1.2696,2.4832,0.5141,0.2471,2.2394
1408,4.1255,1.0763,12.5036,1.0596,1.3004,19.1835
1409,3.1341,2.5316,19.9493,0.3683,1.8942,17.5953
1410,4.4072,4.5114,1.1774,0.828,1.6668,17.5402
1411,1.4263,1.6795,16.915,0.6228,0.5662,15.9029
1412,1.0036,3.2949,5.0919,1.5175,0.3487,12.855
1413,1.7139,3.5699,8.1804,1.4294,2.1615,1.5419
1414,0.7569,3.9155,7.7678,0.2804,0.4665,13.4173
1415,2.8903,2.8632,18.0265,1.9116,1.5024,15.0651
1416,4.7147,2.072,10.3375,1.5149,2.4266,3.051
1417,0.677,4.8384,9.2199,1.2703,1.1288,12.5072
1418,1.0495,3.0955,16.4515,1.0076,0.4897,9.8379
1419,2.5349,3.67,1.4537,0.4381,2.2175,9.7126
1420,4.7024,1.7904,2.1859,1.9278,2.2975,4.3895
1421,1.9227,3.3828,0.9229,0.1149,4.5865,14.919
1422,2.7826,1.3632,13.9157,1.4157,0.7264,18.5399
1423,0.6871,1.301,10.7495,1.0641,3.1135,15.8622
1424,1.1675,3.6021,17.5824,1.8149,1.6665,7.6961
1425,4.9398,2.6548,10.2214,0.8233,0.7056,19.6915
1426,4.843,3.4481,4.8255,1.0854,2.0264,7.6013
1427,0.5222,1.4202,16.2004,1.5104,2.1969,5.0713
1428,4.7832,3.0337,6.2393,0.1904,1.8815,19.3777
1429,3.376,2.2753,18.746,0.2035,3.8521,15.9014
1430,4.4056,3.0251,5.3833,0.5022,4.2121,15.3443
1431,2.5463,1.5253,3.7706,0.3782,0.8288,2.0099
1432,2.8202,3.6057,10.1198,0.1122,0.9227,4.2445
1433,2.6998,4.0491,1.485,1.2837,2.164,0.8611
1434,3.5009,1.3736,1.21,1.6123,1.6689,15.6447
1435,1.1284,1.573,10.1723,1.9185,4.1159,5.9257
1436,0.6349,3.3397,4.6946,0.9377,4.9844,3.0784
1437,1.8857,3.5084,0.6824,0.6315,0.9874,4.0469
1438,3.6711,3.5501,6.2731,1.7414,3.8365,13.0021
1439,1.4083,3.4452,9.8087,1.7044,3.0755,8.9445
1440,3.5304,2.0248,8.1886,1.2872,3.2577,18.8572
1441,4.8646,2.0348,3.1417,0.619,1.3958,7.6349
1442,0.9226,1.3486,11.8037,1.8262,0.5763,16.7605
1443,3.5267,0.8685,14.3515,0.439,2.762,11.1561
1444,2.4969,3.4936,13.673,0.1829,3.1062,14.2543
1445,4.4066,0.5566,8.1784,1.6136,4.8189,3.7889
1446,1.2972,4.6952,3.1831,1.171,3.4086,15.1052
1447,3.6168,4.1508,10.24,0.5683,2.2741,2.1703
1448,4.2715,4.3018,17.8634,1.3747,4.9706,13.9769
1449,4.7508,4.5427,9.6401,1.5568,1.9289,9.5776
1450,3.5746,2.1022,4.3158,1.7046,0.8965,4.9563
1451,2.7373,4.2488,2.3145,0.636,3.1281,9.8675
1452,3.2803,0.8745,18.9066,0.1486,1.4046,17.1857
1453,4.4101,0.206,14.9887,1.0691,4.6188,3.517
1454,3.0677,3.946,6.6029,1.7265,2.1966,3.8077
1455,0.6367,0.4665,6.2594,0.4949,0.8331,10.9129
1456,4.6893,4.9438,17.9568,0.9001,0.794,12.6925
1457,3.6029,3.4065,3.9626,0.5872,3.2832,8.6939
1458,3.5443,3.7919,10.9332,0.1254,1.8929,5.6947
1459,1.4705,1.3044,14.4133,1.8072,1.8823,1.8102
1460,3.465,3.4019,8.2296,0.3566,3.1004,1.471
1461,2.2724,0.3118,1.2781,1.5569,1.1854,1.296
1462,3.4305,4.2053,4.9413,0.7585,0.8126,18.075
1463,0.9797,0.9312,18.0853,0.6276,3.3206,3.0615
1464,3.4603,3.5171,10.7008,1.888,0.1257,6.2549
1465,4.9974,1.2,16.4011,1.3487,4.5461,19.7249
1466,0.717,0.4354,11.3359,1.4052,0.9966,18.5858
1467,4.8973,2.4593,18.9002,1.5433,2.2945,1.3358
1468,2.3311,0.9295,18.2281,0.7478,1.1362,11.2496
1469,4.4184,3.6743,9.9163,1.171,1.1693,12.8532
1470,4.0207,1.2641,6.7063,0.6134,4.1915,1.5552
1471,3.0516,1.7781,12.2325,1.6856,2.9667,14.6985
1472,3.823,2.8805,13.6603,1.2387,1.6261,19.7635
1473,4.4533,1.4963,10.2179,0.5625,1.3304,8.8729
1474,2.3186,1.9521,16.5345,1.8095,1.143,9.2636
1475,1.9716,4.0965,4.0749,1.2036,2.8168,13.3573
1476,3.5042,0.9781,7.021,1.0406,3.6809,14.8626
1477,4.1353,0.5028,13.8843,0.1655,1.3423,15.9006
1478,3.9303,1.709,5.3103,1.8286,1.7283,2.0128
1479,4.0902,2.1794,9.077,1.9093,3.6298,16.1134
1480,2.4601,2.759,19.2928,1.1689,3.7127,17.3494
1481,4.1803,1.9249,12.7046,0.9408,1.1159,1.3819
1482,1.0409,3.9706,19.0066,0.7832,1.9728,1.2631
1483,2.9502,0.2927,14.5876,0.6093,4.3628,11.2424
1484,0.5259,2.2157,14.631,1.1916,3.7269,10.1877
1485,1.9606,1.9731,12.0412,0.3434,0.8962,19.6119
1486,2.1491,3.2731,3.2731,1.8464,1.9912,6.2408
1487,2.2828,4.8348,10.6344,0.4343,4.8691,12.0089
1488,3.6296,2.6008,5.427,1.5165,2.6744,10.3801
1489,2.2485,4.9357,19.9741,0.6831,3.6248,10.9468
1490,2.5191,1.581,5.7058,0.5295,0.551,13.3635
1491,1.5689,0.2513,4.9984,1.16,4.1793,10.9831
1492,2.1796,0.9117,12.6657,1.5537,3.0634,0.6354
1493,1.5227,2.0361,10.4635,1.4808,0.9604,16.9524
1494,0.8294,1.65,0.9164,0.5441,1.963,4.4225
1495,3.2155,0.5756,3.0259,0.728,0.5068,5.0075
1496,3.507,2.22,16.3153,1.7508,3.9074,13.1355
1497,3.2877,1.7568,9.932,1.4742,3.7499,9.8162
1498,2.5857,0.7008,3.3473,1.4541,2.5021,11.7024
1499,2.209,1.551,9.5722,0.6109,2.3149,10.2012
1500,4.385,4.4435,5.4364,1.6048,2.3708,8.6483
1501,2.8359,1.58,4.86,0.781,0.2836,9.9244
1502,2.6563,3.5984,19.1756,0.8626,1.9044,3.2512
1503,0.6154,3.099,7.5595,0.6464,0.7297,19.4015
1504,2.0356,2.1932,1.4054,0.3306,1.0055,11.7077
1505,2.2109,1.2712,19.4214,0.8987,4.8144,6.0929
1506,2.2947,1.9082,15.9994,0.1322,1.3827,14.4004
1507,3.1108,3.0013,5.4611,0.9662,2.4698,17.6621
1508,2.9012,1.8187,8.4734,1.4775,4.4502,6.2811
1509,3.2356,1.153,17.3146,1.9254,2.1261,6.828
1510,3.942,0.6707,7.4696,0.2494,2.6902,9.0517
1511,4.1584,4.4109,11.5644,0.6345,0.9271,4.7372
1512,3.7316,2.2575,10.9297,1.0388,1.4969,16.2909
1513,4.7999,3.1635,8.3252,0.4237,2.58,11.8914
1514,0.582,2.503,12.9703,0.322,1.888,1.6124
1515,1.381,4.3756,9.7292,0.9594,0.2875,19.9357
1516,0.534,2.78,0.914,1.2034,2.0641,11.7119
1517,3.4136,2.4558,16.3805,1.6584,4.094,17.8538
1518,4.5411,4.6305,2.7065,1.9958,0.6687,10.2816
1519,1.5957,3.6265,9.5498,1.5711,0.1918,11.8578
1520,4.6717,0.6466,11.8081,0.5205,0.6816,9.3623
1521,0.7712,0.9708,14.2574,1.5212,3.4657,8.7438
1522,4.705,3.9569,8.5105,1.1206,3.9938,4.7569
1523,2.0823,4.1957,14.8432,0.9565,0.3388,19.2614
1524,0.9564,2.7714,3.0613,1.8779,4.449,4.0445
1525,2.6864,2.8168,13.2422,1.434,3.1739,10.7649
1526,1.6555,3.1965,16.6136,1.3952,2.6388,2.1984
1527,1.7819,2.2517,17.8442,0.1223,1.3426,19.8708
1528,1.8828,3.433,11.8015,1.7436,1.9213,11.3357
1529,4.1136,0.6316,6.6015,1.6073,4.7402,16.3844
1530,2.9262,4.8103,3.6855,0.668,4.5666,11.4771
1531,1.9009,3.7758,7.2384,0.655,3.1648,16.1972
1532,3.2465,3.1928,11.0295,0.2016,2.9367,10.921
1533,3.7227,1.65,4.3284,0.1966,1.1317,9.177
1534,1.7268,0.8887,19.074,1.3703,4.7711,9.3902
1535,2.361,2.1058,17.9941,0.4539,3.8014,0.5457
1536,1.0485,3.3417,1.1427,1.8547,1.9731,7.7278
1537,1.3152,3.2052,11.4583,1.7006,4.0976,19.0629
1538,3.565,1.9749,15.8915,0.7629,1.1382,13.6737
1539,1.3165,3.1051,5.2851,0.8221,1.1448,18.4267
1540,2.8632,4.0874,10.716,0.7218,3.9757,4.4051
1541,3.6907,0.2288,8.4168,0.2756,2.8406,10.0776
1542,0.9809,2.308,4.3327,0.1597,2.8236,1.1724
1543,3.0529,3.8169,12.4874,0.9591,2.911,13.7025
1544,1.6545,2.7761,19.877,1.8918,0.7165,15.7883
1545,4.8332,3.2922,7.6231,1.8428,1.8128,15.0821
1546,2.676,2.6317,11.2714,1.6387,2.9081,2.192
1547,4.127,4.9602,6.8932,1.2943,1.3132,5.3268
1548,2.976,0.3676,17.6005,1.7268,2.5696,13.2886
1549,0.6954,2.5061,17.3598,1.0786,2.8295,15.3003
1550,3.3492,0.5479,3.9861,0.4423,4.7198,5.8471
1551,4.7813,0.8829,18.049,1.3999,1.3043,8.4217
1552,3.2073,1.9769,3.4544,1.8492,2.2529,7.3497
1553,4.1863,0.8621,2.3611,0.1372,4.9094,0.589
1554,4.4789,4.8221,13.2322,0.5777,1.0153,11.742
1555,1.5264,4.7393,8.0251,0.6043,3.9221,13.5477
1556,1.4542,1.7469,10.8494,0.2882,0.9681,5.8905
1557,3.2494,3.2348,13.2251,0.5284,4.2652,13.9118
1558,2.3496,2.7154,1.5303,0.8296,2.4911,5.2336
1559,4.2794,4.0964,6.2126,1.8857,4.8636,14.4528
1560,4.5501,3.1745,9.4877,1.7345,0.9334,9.4152
1561,2.0904,0.1012,5.6985,1.8974,3.4708,17.5027
1562,1.5659,3.8396,1.4549,0.3291,3.5069,11.1223
1563,4.0124,3.7596,2.1902,0.1533,3.6225,4.1007
1564,1.7366,2.5976,16.1341,0.3088,0.5947,16.5292
1565,4.2018,4.5243,18.272,1.8372,1.5139,15.6647
1566,2.4068,4.5514,3.4685,0.3992,1.7563,2.1424
1567,3.504,2.6672,5.3606,1.188,1.689,1.4368
1568,0.9299,3.0791,13.2189,0.5324,3.4076,3.1577
1569,3.3074,4.983,19.1083,0.1392,0.3687,16.9836
1570,2.533,1.5642,6.342,0.2608,3.6774,6.7475
1571,3.1397,1.6906,17.1767,1.4486,2.6803,10.3427
1572,1.2561,0.9956,10.3675,0.4465,0.9477,12.2578
1573,3.8159,4.4897,19.1529,0.5354,1.208,14.9979
1574,4.3826,3.748,3.157,0.8168,0.5781,16.6841
1575,1.4753,0.6176,19.4866,1.3488,2.3494,10.5594
1576,0.9307,4.9107,9.0991,0.9918,3.0151,8.6073
1577,0.6064,3.6817,19.0823,1.8948,2.9468,4.3209
1578,3.3889,4.2676,9.4445,0.9249,4.8156,12.3466
1579,3.2319,0.3359,10.8366,0.4783,1.5502,11.2226
1580,2.9601,2.5743,16.1931,1.1187,3.8342,6.1776
1581,1.5438,3.5231,14.5913,0.9567,3.6431,9.201
1582,2.2591,2.7604,12.5823,1.5956,0.4005,14.9232
1583,3.1751,3.3666,8.6311,1.8767,4.657,12.7281
1584,2.7355,4.1076,15.9525,1.689,4.6634,9.8939
1585,4.945,1.9343,18.9905,0.8392,2.042,5.8102
1586,1.114,4.2585,0.6913,0.5106,2.1466,13.5261
1587,3.6282,0.8983,11.963,1.8375,4.116,12.7393
1588,2.3194,1.4273,17.3866,0.8333,2.5257,9.4356
1589,2.4269,0.3124,13.2357,1.5634,4.0161,5.1512
1590,3.7292,1.8857,16.1162,1.9801,0.277,3.9101
1591,3.616,1.9616,17.9537,1.1971,1.3263,7.1183
1592,4.9607,4.0458,15.1435,1.0118,0.5462,18.2199
1593,1.0778,3.3003,14.4818,1.4298,2.3256,15.2008
1594,0.9685,2.2399,19.3125,0.4685,4.2854,17.8759
1595,3.7595,3.2954,17.3419,1.0277,2.892,16.9307
1596,3.1027,0.3586,16.3999,0.6934,2.6496,9.4482
1597,1.7337,0.9833,2.1849,0.412,1.8939,10.8436
1598,0.8574,3.172,5.1611,1.2593,0.4117,3.8069
1599,0.8855,3.2427,11.3567,1.1938,3.8554,14.557
1600,4.5239,3.8933,14.3364,1.5463,2.8968,8.728
1601,1.3634,2.0747,6.4127,1.7586,4.6617,3.6447
1602,1.9552,3.6405,2.3199,0.5187,2.2166,2.3594
1603,1.52,3.4515,6.5664,1.5814,2.0673,14.0746
1604,2.0975,4.8206,15.5351,0.798,4.8743,9.903
1605,0.8124,1.1541,17.6093,1.2947,0.7917,0.6754
1606,2.8358,2.8032,18.3016,1.7155,1.3366,16.5781
1607,0.8043,3.0486,7.8879,0.5868,2.492,12.5795
1608,4.1016,4.9934,7.7645,1.2418,2.6654,1.2483
1609,1.5517,1.0858,8.4308,1.0126,2.7887,6.4414
1610,2.9301,2.6638,7.8283,1.6021,1.1393,14.5869
1611,4.4604,1.7963,13.4908,1.4248,4.6416,1.6511
1612,3.4289,2.6769,7.4873,1.5623,3.5472,14.8569
1613,2.8983,1.2374,0.8967,0.6471,1.3664,10.3455
1614,1.9595,0.3333,9.061,1.4383,1.5415,15.7657
1615,1.9985,2.9056,4.871,1.251,4.4138,17.1771
1616,3.5127,1.7457,1.0617,0.9677,1.9637,15.4713
1617,4.9736,0.9915,9.6814,0.8189,2.8262,2.0225
1618,3.4783,1.6873,4.5161,0.73,0.6901,9.4773
1619,3.01,0.3415,9.3285,0.1184,1.3335,6.7153
1620,3.7879,4.7572,5.9161,0.4222,2.1412,10.4156
1621,2.5934,2.9476,12.2723,0.2121,3.3151,19.3331
1622,0.7706,4.0924,19.8221,1.7119,1.4731,2.9257
1623,3.0303,2.1733,11.171,1.7342,4.7587,17.3792
1624,4.8093,4.5262,13.1145,1.7078,1.1791,19.8216
1625,1.2889,2.4683,18.4259,1.654,3.9166,19.8054
1626,3.605,2.9123,7.793,0.5205,1.8865,16.0354
1627,1.4042,2.5098,3.7477,1.0344,4.1837,9.5788
1628,2.9112,3.6931,6.0145,1.8249,4.6232,3.971
1629,0.935,2.8766,8.3545,1.5436,1.0164,12.3602
1630,2.5267,1.4308,13.0778,0.1035,2.5082,12.4023
1631,3.9027,0.8131,0.5895,0.9729,0.8564,6.6705
1632,2.0641,3.07,17.141,0.1203,3.5585,12.528
1633,3.4921,2.497,1.9838,0.6333,4.178,2.7727
1634,4.0795,0.5703,18.0628,0.9279,2.0084,12.8632
1635,4.6723,2.0385,19.014,1.7965,2.0441,17.9861
1636,1.5559,2.6224,19.807,1.3433,1.0988,9.7053
1637,2.2969,4.1518,16.2854,0.7887,1.602,15.409
1638,1.1859,0.4729,3.2662,1.0322,1.6871,12.895
1639,4.9662,1.8076,14.2703,1.653,0.8623,0.5598
1640,4.6715,4.131,4.4648,0.6693,1.6188,2.879
1641,2.9298,3.2773,17.994,1.2686,4.5456,15.6093
1642,4.2891,1.5208,6.6738,0.5983,1.6944,1.2888
1643,2.8443,4.2421,6.8725,1.0119,1.4447,19.1468
1644,3.3061,2.5171,18.3942,0.1469,1.9847,17.9345
1645,0.9011,2.5419,0.758,1.7193,4.8053,7.5663
1646,3.8987,4.8853,4.2823,0.1919,3.8464,6.5525
1647,1.0747,4.7409,8.7277,0.5263,1.0885,12.4522
1648,4.2173,1.8568,14.1641,0.7337,3.7875,12.43
1649,4.0191,0.7888,13.1275,1.2878,3.8546,2.2361
1650,3.6894,1.6958,13.5535,1.4681,4.7557,4.7
1651,0.6627,0.2494,17.6604,0.2529,4.4664,12.9111
1652,1.8641,0.2018,2.8601,0.1826,0.5665,16.115
1653,1.684,2.0381,10.6822,1.6181,2.3274,4.244
1654,2.1206,4.711,14.6468,1.4531,3.5447,14.1877
1655,0.8944,4.3697,12.9043,1.6799,4.8695,17.4743
1656,4.7163,2.6061,9.2421,1.3854,0.5173,2.7972
1657,2.9921,2.8696,0.8337,1.5269,1.9043,9.0625
1658,1.8749,0.1291,1.6788,0.8202,2.5119,17.0858
1659,2.2864,1.156,2.8194,1.2214,2.1249,7.7272
1660,2.5124,0.2214,7.1929,1.6302,2.3333,5.7544
1661,3.2027,3.7972,2.7942,0.427,1.9086,15.0395
1662,2.8206,0.8137,8.8086,0.9034,4.8561,8.3152
1663,4.6373,4.3583,3.9835,1.5069,4.0359,14.2731
1664,2.7363,3.2523,15.6937,1.112,3.7096,2.9646
1665,4.9647,1.2242,17.494,1.3951,2.1124,11.2935
1666,4.3314,0.8728,8.0981,0.6565,4.4195,7.8995
1667,1.4383,3.1754,10.471,0.1615,0.5574,19.9474
1668,4.6877,4.5141,19.0932,0.1554,0.8028,12.0321
1669,1.0236,3.62,10.9424,1.8913,4.7749,13.8022
1670,4.1785,1.8079,19.9039,1.8946,2.8782,3.0552
1671,2.2128,2.9782,3.2716,0.5014,0.8813,19.8434
1672,4.4509,1.6227,17.3134,0.3802,4.7508,1.5024
1673,4.4063,4.9958,10.1955,0.1345,4.8767,1.8813
1674,4.1267,3.7693,0.9429,0.5394,4.4193,1.9768
1675,4.0551,3.1105,19.4583,0.7353,1.2689,17.4767
1676,1.8711,2.174,19.3184,0.5584,1.4646,14.7075
1677,0.8641,3.1289,7.9738,1.615,2.0942,19.4745
1678,2.3134,1.7739,19.1058,1.5239,2.9387,1.7979
1679,1.2809,0.2414,3.2497,0.2539,4.9617,13.9877
1680,3.6273,2.0359,13.7621,1.4249,4.7851,10.8988
1681,2.0574,4.6594,4.2426,1.0891,4.6136,12.9632
1682,4.8902,3.1689,5.3096,0.3511,0.5375,10.5019
1683,3.3844,0.5114,15.6971,1.5051,3.8101,13.6693
1684,4.2012,4.4365,7.8585,0.2635,4.3965,18.1877
1685,1.0964,1.4175,0.639,0.4366,1.7331,11.9557
1686,4.3791,1.2945,8.5776,0.3835,1.1759,17.9801
1687,4.6524,1.5557,4.9474,1.8842,3.7674,15.7522
1688,2.6918,2.9283,13.8249,1.4265,0.5451,17.366
1689,3.2281,2.769,4.2917,0.8814,4.7102,13.3554
1690,3.9416,2.5079,16.9239,1.6622,0.8648,10.6128
1691,1.2868,3.6159,5.7083,0.5103,2.3419,1.8563
1692,2.7615,1.651,8.1641,1.8691,4.9157,16.7806
1693,2.294,3.9321,6.3117,1.4243,4.9423,5.2192
1694,1.1587,0.9591,13.0565,1.1632,3.9024,1.2149
1695,2.1539,3.9348,2.4727,1.6098,4.212,10.6219
1696,0.8068,3.3527,9.8229,1.3251,4.8391,12.8341
1697,0.6162,3.4477,7.0219,1.7855,4.6444,13.4057
1698,1.1082,2.4596,17.7407,1.6754,3.1483,13.5595
1699,4.834,3.3683,1.9315,0.4759,3.6996,13.2476
1700,2.9729,0.491,16.6791,0.5554,3.0095,16.2597
1701,4.8462,4.2726,3.7698,0.2237,2.5818,15.5026
1702,2.4462,0.3722,2.2273,0.5184,4.4161,16.3503
1703,1.9032,0.8288,4.4453,0.7526,3.7163,9.4751
1704,2.7776,2.9263,2.5017,0.1548,4.3131,1.725
1705,2.4778,3.7231,10.6592,0.6984,0.57,12.9717
1706,0.9755,0.4736,19.7702,1.5659,2.9248,4.5992
1707,3.3837,4.6117,1.1694,1.6966,1.7146,17.2607
1708,1.4722,4.8707,9.492,0.1169,2.6156,14.5725
1709,3.2881,3.0692,8.0284,0.1136,3.1035,15.4345
1710,3.4259,2.4581,7.1223,0.378,4.2442,6.0852
1711,1.1841,3.7328,6.9713,1.7579,0.2562,12.8446
1712,0.7761,1.709,17.9527,0.9916,0.9035,10.7976
1713,4.0134,2.517,0.87,1.9675,4.6151,5.7348
1714,2.5691,4.5891,15.6109,1.7859,4.8396,16.3384
1715,0.7617,4.7827,5.4322,1.7912,0.3716,11.2242
1716,4.9769,4.6426,7.9743,0.3441,1.7258,4.2204
1717,0.76,1.386,8.6929,1.0029,0.1477,6.4523
1718,3.6277,1.2391,6.4423,1.9878,3.8115,4.9286
1719,4.9266,1.5586,2.3244,0.3832,3.4415,6.5918
1720,1.5763,2.2624,2.7295,1.191,2.8675,4.1693
1721,1.1401,1.6394,6.3136,0.7541,3.4891,7.7372
1722,1.0462,1.9336,16.5253,0.8369,2.7352,14.0327
1723,1.8647,3.1411,3.1252,1.7925,1.2703,19.2063
1724,0.9547,3.8364,14.9815,1.217,3.7962,4.6055
1725,3.6147,3.7042,6.133,1.5417,3.9381,6.3467
1726,0.7803,4.0907,17.7276,1.3791,4.2856,0.542
1727,2.7924,0.2577,8.8524,1.1051,4.775,4.8934
1728,4.9851,0.3339,3.8486,1.6043,3.763,8.6598
1729,4.1629,3.968,19.724,1.9444,0.3673,9.5039
1730,3.2685,2.7121,3.9444,1.937,0.2021,5.6935
1731,1.8781,2.9329,11.5686,1.6,3.7254,3.4313
1732,3.3075,0.3577,11.6011,1.0259,0.3746,11.4799
1733,2.8717,1.351,7.7699,0.41,1.6481,8.4792
1734,2.4174,3.2279,19.054,0.1845,0.7672,8.8122
1735,1.0882,4.31,16.9556,0.5397,4.8476,17.9521
1736,4.4897,4.5932,16.6815,0.7465,1.6503,11.4481
1737,2.524,2.5521,19.496,0.3467,0.3702,8.0726
1738,1.3758,2.7728,9.4136,0.5271,4.7531,5.4489
1739,2.1549,4.1819,2.3951,0.2587,3.0828,8.8577
1740,2.3636,2.7344,15.4264,1.095,0.2769,17.3064
1741,4.2239,2.6326,7.9258,0.34,4.1835,19.3195
1742,3.8013,4.5349,4.2117,1.5113,0.8474,7.856
1743,3.9619,3.9707,9.9233,0.732,4.0319,4.5752
1744,0.5496,4.5545,18.5515,1.3769,3.0535,18.3331
1745,2.3727,1.1694,3.8415,1.7768,0.9679,3.3165
1746,2.666,2.6694,17.0496,0.2634,3.7877,6.299
1747,0.5864,4.2281,8.655,1.9791,2.3271,4.4808
1748,1.6692,0.6446,3.1676,1.326,3.2267,11.5337
1749,3.9213,3.9938,17.0435,0.2014,4.3606,8.4685
1750,1.117,0.9966,19.4076,0.6966,1.3755,6.0997
1751,2.9089,4.0598,6.1798,1.7839,1.8933,15.4746
1752,1.4684,3.0988,6.419,1.2328,4.9866,13.4503
1753,0.5545,1.0469,8.1156,0.6457,2.5898,19.9125
1754,1.5854,2.4194,16.3755,1.8869,2.8367,6.5838
1755,4.8914,3.4413,0.7031,1.5958,1.4986,16.983
1756,4.1069,3.2059,4.8672,1.4975,2.1385,6.3989
1757,4.8181,2.1935,14.265,1.788,2.5576,0.6762
1758,2.6953,4.5069,8.41,1.5626,1.3664,3.4425
1759,0.9938,2.6444,6.9408,0.6448,1.2669,10.4152
1760,2.9658,2.5787,17.5095,1.2094,3.0423,16.2952
1761,2.5447,0.405,18.388,1.7003,0.9999,1.6195
1762,4.2996,4.6184,18.9857,0.4436,2.8119,16.7243
1763,0.9414,0.9679,5.8147,0.4097,3.5604,14.4635
1764,2.6971,2.6889,18.294,0.4021,1.0715,1.1731
1765,1.1752,4.0375,14.8708,0.4691,3.7548,2.5728
1766,1.961,1.1557,3.5072,0.2961,1.8625,1.9748
1767,3.8181,2.6841,12.4003,1.6915,4.9633,13.7404
1768,2.6421,1.2794,1.0135,1.6548,4.8975,11.4401
1769,2.1915,3.8225,14.3134,0.3876,4.0131,7.4977
1770,2.2751,2.8653,14.8046,1.4405,1.7793,2.2221
1771,2.5675,4.2943,15.8921,1.2913,4.6923,8.1631
1772,4.0326,4.4833,3.8642,0.6248,4.994,13.8024
1773,4.5144,3.2788,12.7509,0.532,2.3652,2.3215
1774,4.799,3.6544,3.9877,0.5761,3.1115,17.2034
1775,4.0411,2.7912,18.9597,1.4882,0.1293,1.7267
1776,1.9193,1.9837,13.6627,0.7067,0.3133,12.3598
1777,3.5966,3.2758,2.3589,0.6281,2.5529,4.1884
1778,2.4692,4.5506,4.1471,0.1427,3.0856,2.287
1779,1.646,2.1417,13.4375,1.8256,1.6307,7.4219
1780,4.2839,1.6406,9.7951,1.5301,0.5857,13.5051
1781,0.6729,2.0033,14.8578,0.9983,3.9331,2.8605
1782,4.5579,2.2334,5.9754,1.8916,2.1519,9.7761
1783,2.5766,0.4604,13.3294,0.6577,3.2794,8.4191
1784,3.3674,2.5424,3.9507,1.3819,3.286,8.8354
1785,3.4671,2.5221,11.1024,0.6798,2.7795,18.8966
