ID,Frequency (GHz),W1 (mm),L1 (mm),D1 (mm),W2 (mm),L2 (mm),S1,S2
2314,2.35,1.32,6.52,0.85,0.19,9.91,15.637056,116.19707
2315,4.0,2.93,3.84,1.74,2.93,6.01,17.512411,82.759415
2316,3.47,4.08,4.01,1.03,0.23,4.98,17.715662,96.513855
2317,4.27,0.88,8.6,1.14,3.7,8.92,13.433727,107.59258
2318,2.27,4.76,7.09,1.83,0.14,4.14,15.780209,104.506805
2319,4.87,2.56,8.15,0.14,3.71,9.42,13.36539,110.700806
2320,4.29,3.99,9.63,1.58,0.12,9.35,13.836892,123.64714
2321,1.71,4.04,1.95,0.54,3.88,4.99,17.720572,76.33232
2322,4.62,4.88,5.97,0.81,4.49,3.23,8.843279,64.45698
2323,2.2,0.98,9.24,1.77,0.1,4.32,12.680904,98.61293
2324,0.74,2.29,5.93,0.56,1.52,2.83,15.406145,77.775894
2325,2.98,2.7,4.25,1.07,1.92,1.83,16.766039,68.95648
2326,2.05,3.16,1.37,1.54,3.35,6.61,17.482386,73.99263
2327,1.74,3.25,6.09,1.55,0.69,6.2,15.713058,100.791046
2328,3.57,3.04,4.83,1.42,3.56,8.91,15.713066,95.9587
2329,2.31,2.73,5.52,0.24,2.4,3.2,16.593313,77.82594
2330,2.62,1.51,3.78,1.36,4.53,5.14,17.830229,80.4769
2331,0.56,0.74,4.31,1.99,3.48,1.87,17.145498,68.7054
2332,2.07,4.45,9.07,1.88,2.45,4.29,7.9639187,72.8376
2333,2.08,2.11,7.39,0.42,4.34,5.24,12.124474,79.9267
2334,3.81,0.68,4.35,1.94,1.66,8.57,16.033531,87.18623
2335,2.6,2.49,9.64,0.84,4.19,6.96,10.862461,102.416
2336,1.13,2.34,7.56,0.45,3.81,1.08,11.400086,62.12381
2337,1.11,3.92,3.36,1.34,1.44,2.4,17.51628,83.9281
2338,3.4,2.36,2.98,1.27,1.55,0.91,16.806513,61.733574
2339,3.39,2.64,1.42,0.14,0.57,9.8,17.63888,86.91974
2340,1.03,1.57,2.05,1.06,1.17,8.1,17.227848,76.197235
2341,1.59,3.31,6.69,1.55,1.11,1.15,16.429949,94.487755
2342,1.46,4.01,8.05,1.43,2.47,2.43,9.930404,68.02129
2343,2.37,2.21,7.48,0.82,0.43,9.25,15.814962,123.331345
2344,2.35,2.68,1.3,1.88,3.13,4.98,18.224625,73.48582
2345,4.86,2.37,6.69,0.4,1.98,3.31,14.764788,80.203995
2346,1.4,1.45,2.61,1.7,2.32,5.79,17.622263,73.30603
2347,1.15,2.38,4.89,0.93,3.36,1.5,15.649498,62.28833
2348,1.99,2.74,8.19,1.85,3.27,6.45,12.9160595,102.955414
2349,4.86,0.62,6.07,1.78,0.6,9.47,15.245501,104.69292
2350,2.01,4.96,4.24,0.86,2.89,2.5,16.207312,88.9845
2351,3.36,4.33,5.11,1.51,0.19,2.26,18.60996,108.1459
2352,1.37,1.33,1.0,1.56,4.73,4.5,21.260916,86.058815
2353,4.59,3.81,4.3,1.48,1.87,5.02,17.605524,87.226524
2354,2.8,0.13,9.44,1.83,4.98,8.27,13.197128,106.70597
2355,4.76,3.3,5.5,1.75,2.0,4.93,17.040522,91.42328
2356,0.59,0.11,4.08,1.13,0.5,0.64,16.305944,60.905167
2357,3.75,0.98,3.26,1.22,3.44,3.32,18.750193,76.34831
2358,1.77,4.26,7.66,0.28,3.23,1.8,7.2266273,53.85363
2359,3.51,4.06,2.29,0.82,4.53,7.43,18.583975,88.46692
2360,3.88,1.05,5.71,1.38,0.54,6.36,15.489698,91.204216
2361,1.62,2.51,7.33,0.49,4.47,4.33,11.389311,74.7663
2362,0.92,4.01,4.33,1.13,4.72,5.59,15.119189,78.77658
2363,4.45,1.98,1.73,1.08,4.3,8.71,18.565224,84.660904
2364,2.3,4.61,4.18,1.81,4.87,9.88,15.469326,106.81449
2365,2.06,1.69,7.25,0.92,2.56,3.08,13.547785,76.77135
2366,3.43,0.95,7.83,0.43,1.58,0.87,12.532773,67.76484
2367,1.0,2.88,7.6,0.53,3.13,1.81,11.473715,67.84306
2368,1.33,2.82,3.0,1.83,1.34,3.98,17.524511,73.74646
2369,3.38,4.85,9.78,0.91,3.72,2.16,3.3772295,54.775444
2370,2.39,1.42,4.99,0.21,4.92,2.83,17.308937,78.1965
2371,4.68,1.86,7.0,1.3,3.84,6.48,13.811928,88.22314
2372,4.1,4.85,6.12,1.67,0.86,2.42,16.8917,103.46916
2373,2.71,2.77,7.14,1.76,1.68,6.09,14.409735,101.01349
2374,4.87,1.81,6.74,0.78,1.97,9.59,14.816427,109.050934
2375,2.68,4.53,9.42,1.6,4.46,1.26,3.373,54.10945
2376,4.52,3.95,5.46,0.15,1.94,9.71,15.718031,111.74184
2377,2.58,2.12,1.41,1.56,1.78,9.27,17.481882,79.21464
2378,3.57,4.33,4.57,0.21,2.96,3.39,16.156364,84.1066
2379,3.13,2.49,8.71,0.32,4.97,4.39,9.036083,77.1846
2380,0.81,2.83,3.86,0.92,2.69,1.37,16.127483,61.193363
2381,3.12,4.62,9.76,0.57,1.45,4.23,8.533958,74.55002
2382,1.46,2.35,9.26,1.66,2.11,8.05,14.199181,121.97307
2383,2.03,4.49,3.75,0.59,0.36,8.05,16.307617,97.88324
2384,4.59,2.29,5.93,1.36,3.15,4.77,15.689987,82.530266
2385,3.49,1.4,2.57,1.06,0.77,8.87,16.849989,81.928986
2386,0.93,3.16,0.52,1.01,1.22,2.52,16.561495,60.419487
2387,1.64,3.88,7.62,0.36,3.37,3.44,8.779143,65.982895
2388,0.88,2.19,6.67,0.56,4.18,7.98,13.111099,92.28264
2389,3.91,3.84,6.46,1.62,3.96,5.89,12.625864,87.17804
2390,0.64,1.93,1.89,1.59,2.97,1.56,18.41198,67.97509
2391,1.98,0.61,1.75,0.72,0.85,2.53,18.73049,67.80668
2392,1.22,4.87,3.45,1.78,4.8,2.03,14.214753,70.06819
2393,1.09,3.1,2.72,1.22,3.21,4.37,17.11015,70.220634
2394,1.19,2.02,3.68,0.5,2.74,3.78,16.968502,68.002754
2395,0.62,4.4,9.03,0.48,3.33,9.13,10.171066,108.24931
2396,3.59,1.62,7.23,0.42,4.14,1.86,12.8934,66.21602
2397,0.9,3.48,5.34,0.65,3.2,6.13,16.692846,92.56526
2398,4.82,2.31,2.62,1.4,1.48,6.11,17.58574,77.54825
2399,0.88,3.32,8.13,0.41,3.06,5.52,10.931293,87.03665
2400,2.09,2.43,9.83,1.2,4.28,1.39,7.029494,67.560715
2401,1.09,4.76,8.3,0.47,1.53,5.97,9.894382,80.30612
2402,2.72,1.04,5.49,0.4,2.01,2.38,15.422941,66.38649
2403,3.37,3.74,6.6,0.69,3.35,6.13,13.443352,89.164474
2404,1.09,2.65,7.02,0.9,2.94,7.54,14.104612,103.1839
2405,4.59,4.56,2.48,1.85,3.27,5.16,17.99338,90.13107
2406,1.71,2.31,4.31,0.23,0.27,4.54,17.018312,82.887535
2407,4.75,4.06,5.66,1.86,0.61,8.75,15.126366,109.99654
2408,0.76,0.4,7.48,1.36,2.42,3.15,13.179939,73.71382
2409,0.89,0.86,2.72,0.15,0.9,9.19,16.846006,80.48855
2410,2.42,3.32,8.54,1.96,4.04,3.09,8.695429,74.6017
2411,1.36,1.32,3.99,0.13,2.82,7.63,16.535725,79.15861
2412,4.05,1.33,2.78,0.29,1.83,7.15,17.335356,76.29537
2413,2.93,3.32,4.63,1.04,4.12,1.05,15.13775,63.50806
2414,3.61,2.45,9.65,0.51,3.69,7.92,11.91323,108.77475
2415,2.57,4.92,7.96,0.22,0.77,2.48,13.256084,92.907486
2416,2.73,1.87,6.67,0.93,2.48,3.07,14.541159,76.55985
2417,1.71,2.28,2.99,0.94,1.79,0.62,16.571348,59.334023
2418,4.17,3.18,5.48,1.7,3.43,9.14,15.244514,103.002975
2419,2.91,0.39,7.01,0.74,3.22,5.13,13.918858,78.39517
2420,1.68,3.47,1.32,0.31,0.74,9.39,17.942284,92.964645
2421,1.96,0.25,5.33,1.42,0.71,8.24,15.5414295,92.143814
2422,3.71,3.15,4.1,1.3,3.53,1.28,16.047312,63.479065
2423,2.48,3.4,3.31,0.93,3.1,5.01,17.553247,75.8315
2424,2.12,4.83,4.38,1.41,0.17,7.97,15.487706,98.255066
2425,3.61,3.91,6.93,1.98,2.73,9.28,15.038755,119.749084
2426,4.82,4.45,3.45,0.24,2.22,3.03,17.572514,93.87237
2427,2.74,3.43,3.28,1.16,1.87,3.53,17.392046,73.9751
2428,1.14,4.74,3.35,0.48,2.09,3.11,17.380451,92.46411
2429,4.31,4.4,4.37,0.61,1.23,7.89,16.123087,96.99075
2430,1.44,3.12,7.1,0.42,4.48,9.5,12.5607395,105.35245
2431,4.42,4.58,5.87,1.05,1.05,1.19,17.425814,104.32831
2432,1.21,1.71,3.46,1.66,1.28,5.35,17.13373,75.5426
2433,2.11,4.38,3.8,1.53,2.06,1.94,17.852642,93.022064
2434,2.69,4.55,6.76,0.81,0.55,7.1,13.271925,93.29075
2435,2.81,3.51,8.74,1.37,3.39,1.04,6.9622073,58.169827
2436,2.09,0.99,8.9,1.24,1.49,5.49,12.908198,98.96127
2437,2.39,0.2,2.1,0.92,2.25,3.74,19.78097,76.094215
2438,2.9,3.35,8.53,0.43,0.4,2.84,13.492826,94.41853
2439,0.91,4.85,4.21,0.67,0.86,4.86,16.849092,96.50177
2440,3.33,1.41,2.56,1.04,0.34,5.79,17.263624,72.91979
2441,1.11,1.77,4.44,0.73,3.32,7.66,16.189955,81.987656
2442,3.05,2.6,7.9,1.28,1.48,9.69,15.679584,127.13726
2443,2.37,4.58,1.2,0.13,3.86,7.78,18.491447,93.50986
2444,2.62,4.23,2.45,1.21,4.44,8.54,18.57038,96.59983
2445,3.99,0.34,4.76,1.24,2.02,0.85,16.52712,64.60966
2446,2.08,3.96,7.22,1.46,2.52,5.08,12.349086,84.25955
2447,4.85,2.21,8.55,1.76,0.59,6.66,13.686756,107.37074
2448,0.72,2.65,3.71,1.4,0.19,8.32,17.059305,98.1539
2449,1.76,2.72,2.0,1.34,1.78,3.78,17.341772,66.61913
2450,3.33,2.28,7.39,0.88,0.76,1.93,13.996229,84.168465
2451,2.6,1.94,6.97,0.73,2.48,5.16,14.279052,88.32797
2452,4.52,1.96,8.87,0.86,4.65,2.46,9.769506,69.7807
2453,1.1,0.53,1.6,1.78,2.48,6.27,19.299036,78.531876
2454,0.83,3.78,6.99,1.06,3.96,9.69,13.089378,111.731476
2455,3.39,4.02,2.55,0.47,4.01,3.61,17.60813,74.982956
2456,4.44,4.8,1.24,0.37,4.58,6.73,18.298105,92.593735
2457,3.79,0.46,1.05,0.44,0.99,3.93,19.797922,73.704865
2458,4.81,3.28,7.6,0.41,3.67,6.89,12.14743,93.02571
2459,3.55,2.49,2.26,0.8,2.41,1.6,17.549734,64.908966
2460,2.88,0.11,3.75,1.34,4.49,2.0,19.964272,82.38102
2461,3.4,1.91,9.16,0.42,1.28,0.59,10.841948,74.18298
2462,1.72,3.65,8.34,0.93,0.95,3.99,12.643349,88.8331
2463,0.61,2.59,1.16,0.63,1.26,4.8,17.213095,66.11407
2464,0.84,3.35,9.58,0.32,0.65,9.31,13.932316,125.46686
2465,2.69,3.12,4.06,0.48,0.14,8.67,17.295399,104.94656
2466,3.61,4.82,7.85,1.4,1.54,2.65,12.380561,85.55174
2467,4.53,0.59,1.24,1.5,0.84,9.74,18.065062,81.3058
2468,1.7,0.89,1.82,1.97,4.57,6.12,20.376526,86.87134
2469,2.58,4.12,1.18,1.77,2.11,8.87,18.621836,96.80617
2470,2.26,4.52,7.7,0.54,3.99,8.91,10.255279,100.9279
2471,4.81,3.47,9.55,1.42,1.69,3.76,9.466231,77.35655
2472,4.95,2.55,6.46,1.57,4.61,3.21,13.815958,73.06549
2473,4.96,0.22,7.03,0.65,3.61,1.82,14.544116,68.74007
2474,1.05,2.07,0.95,0.13,0.27,8.15,17.42965,74.33838
2475,1.42,3.96,2.69,0.95,3.15,1.14,16.054995,65.29779
2476,3.76,4.31,4.6,1.93,1.5,6.67,16.372734,93.774734
2477,2.53,3.07,3.61,1.95,4.65,8.57,15.806011,82.77013
2478,3.18,1.56,3.99,1.37,2.44,5.86,16.73417,76.42767
2479,3.4,4.68,2.46,0.83,4.7,2.0,16.576277,76.6083
2480,4.92,3.75,8.53,1.95,2.04,1.91,10.860867,76.12442
2481,2.91,3.43,6.39,0.33,3.12,6.28,14.957354,93.36644
2482,4.34,4.72,4.29,1.94,3.47,5.75,16.634668,91.847626
2483,1.13,4.32,4.46,0.88,1.83,7.55,16.795801,99.12527
2484,1.1,1.0,4.27,1.61,4.06,9.83,16.018284,86.9877
2485,0.6,3.3,2.49,1.25,3.63,6.68,16.937403,75.782036
2486,2.35,4.65,9.75,0.64,0.1,3.26,11.520149,93.06299
2487,2.98,3.23,6.53,1.55,1.76,4.97,15.258481,92.53082
2488,2.37,1.34,7.22,1.4,1.99,3.23,13.836292,79.640076
2489,2.41,4.07,4.5,0.48,3.36,6.61,16.933746,90.97903
2490,2.08,4.5,4.93,0.79,3.41,6.01,14.829372,85.49043
2491,2.64,1.37,2.85,1.21,3.07,1.17,18.61117,69.91651
2492,2.09,2.32,8.76,1.94,2.86,6.96,13.39184,110.19168
2493,1.47,3.64,4.67,1.13,4.35,5.21,15.750427,78.43794
2494,4.09,0.9,5.3,0.51,3.37,6.42,15.769693,79.42546
2495,1.25,4.22,1.78,0.88,2.17,6.69,18.039927,88.79101
2496,2.8,2.14,8.69,1.22,2.32,1.57,10.887981,72.7863
2497,1.88,1.32,4.49,0.44,0.95,3.04,16.308647,68.928505
2498,4.33,3.53,3.42,0.72,4.23,2.21,16.551214,69.182045
2499,2.01,1.44,3.82,0.59,1.92,4.01,16.957254,69.16916
2500,2.15,4.64,0.76,0.57,2.82,4.07,17.334772,83.49304
2501,3.93,1.85,4.05,0.35,4.34,8.01,16.520975,82.28047
2502,0.63,4.3,7.76,0.72,2.25,7.0,11.502592,93.901764
2503,3.07,2.7,4.37,1.08,0.31,9.02,16.812775,105.217804
2504,3.93,2.34,8.4,0.26,1.37,1.01,12.121124,77.69867
2505,2.32,3.44,6.24,0.38,3.96,3.32,12.971651,71.46016
2506,1.7,0.6,1.17,1.22,3.47,2.52,21.412235,80.94725
2507,1.5,2.68,1.18,0.86,1.98,2.98,17.441542,64.41629
2508,1.53,4.65,0.71,0.36,2.92,7.1,17.596676,88.52045
2509,4.01,2.83,6.66,0.26,0.59,4.92,14.761239,91.06062
2510,4.57,3.26,2.69,1.53,1.01,4.38,17.687296,78.538506
2511,3.95,4.66,6.11,1.88,1.28,4.62,15.756292,95.137764
2512,2.61,0.13,5.33,1.18,4.78,6.13,16.823435,83.6706
2513,2.08,2.15,5.96,1.86,2.46,1.27,15.355841,69.31024
2514,3.94,2.06,3.8,0.94,1.19,4.55,17.186388,76.06494
2515,4.86,0.67,2.51,0.93,2.08,2.86,18.935663,72.51474
2516,2.38,4.7,4.14,0.23,0.39,1.14,18.689035,108.40639
2517,3.52,1.1,1.6,0.9,2.76,0.8,20.061232,73.249855
2518,2.28,0.94,8.85,0.27,3.57,5.63,11.799379,87.780075
2519,1.68,2.54,5.61,1.8,1.75,2.08,16.08943,76.76581
2520,3.72,1.48,1.82,0.49,4.61,6.8,19.968447,87.60472
2521,4.77,3.95,9.89,1.5,1.23,7.42,11.541767,103.640495
2522,5.0,3.83,9.75,1.29,2.62,8.29,11.778278,109.831924
2523,2.22,3.89,1.78,1.82,2.5,3.93,17.492693,73.33115
2524,3.43,1.01,2.37,0.11,4.12,6.64,19.572485,85.28508
2525,2.07,0.47,2.0,1.19,1.47,1.09,19.052103,68.06147
2526,1.73,0.5,6.57,0.42,2.79,7.66,14.364875,88.74962
2527,0.8,4.72,7.65,1.14,3.91,6.05,8.175922,80.94963
2528,4.72,1.04,6.93,1.24,3.67,4.68,14.091356,77.75575
2529,2.96,4.17,1.56,1.2,1.16,5.1,17.552336,84.53135
2530,3.29,2.78,2.82,0.32,1.56,3.82,17.604937,70.77334
2531,3.52,4.47,8.2,0.23,1.25,1.03,12.605167,87.23165
2532,2.38,0.72,2.72,0.31,1.18,1.56,17.937368,64.943405
2533,1.04,0.32,4.62,1.69,2.97,4.33,16.730967,73.14275
2534,4.5,0.48,6.35,0.49,0.31,6.58,14.739749,90.93242
2535,3.92,0.16,9.64,0.25,4.57,6.52,11.748237,91.96117
2536,4.34,2.44,4.65,0.44,4.88,5.48,16.51988,80.719696
2537,3.25,1.34,5.87,1.55,1.54,3.1,15.362421,76.46353
2538,3.11,1.03,4.85,0.82,2.35,9.81,15.592735,92.324295
2539,3.37,3.54,8.86,0.63,0.83,8.17,13.1775,110.49655
2540,0.97,1.19,3.16,0.27,3.72,6.85,17.817009,79.20679
2541,4.26,0.63,1.52,0.87,1.55,3.78,19.54399,74.07881
2542,3.41,0.58,8.57,0.28,0.75,7.12,13.665731,104.87599
2543,3.68,2.81,9.31,1.14,2.76,9.28,13.886002,122.98364
2544,3.97,0.69,8.65,1.79,3.13,6.97,13.172305,100.259544
2545,2.77,1.27,7.39,1.77,2.6,2.95,13.52527,77.21712
2546,2.38,1.49,7.85,1.95,3.94,4.27,12.491608,81.24645
2547,1.04,1.67,6.35,0.38,4.82,4.24,13.8312435,73.1497
2548,3.4,0.41,6.6,1.59,3.44,8.5,14.536783,92.92809
2549,3.17,3.23,6.0,0.92,0.47,3.39,16.863386,96.997284
2550,2.24,1.45,8.09,0.71,3.18,3.65,12.095337,77.48269
2551,0.75,4.55,6.57,0.4,4.86,2.1,7.377605,62.451553
2552,1.18,2.63,3.96,0.71,4.34,8.65,15.782973,82.9279
2553,4.44,2.01,3.86,0.64,0.6,1.17,16.388304,66.94369
2554,4.74,2.15,4.22,1.22,1.47,3.06,16.782612,72.36247
2555,2.25,1.19,5.13,1.27,1.31,9.56,15.696939,98.94153
2556,1.3,4.33,9.05,1.83,0.73,8.31,13.08247,114.34651
2557,1.86,4.86,6.3,1.98,3.74,3.66,9.280155,67.65529
2558,0.57,2.9,1.0,1.02,0.81,7.34,17.514685,75.84652
2559,0.66,4.2,4.54,0.25,4.05,4.6,15.125528,76.4418
2560,3.16,1.96,4.82,0.19,1.34,2.73,16.338072,71.187965
2561,2.31,3.84,2.15,1.69,1.47,8.28,18.633718,97.79418
2562,1.32,1.99,3.69,1.54,1.02,9.63,16.534918,95.550766
2563,1.57,1.12,2.83,1.09,2.22,1.28,18.02028,65.60042
2564,3.68,3.04,2.73,1.66,4.72,9.85,16.423315,84.14726
2565,3.42,2.81,0.55,1.68,2.7,5.89,18.15013,72.39222
2566,3.06,1.22,0.62,0.38,4.12,5.66,21.357914,86.5151
2567,0.65,1.88,5.88,0.64,3.88,9.89,14.180904,97.89254
2568,2.14,0.83,7.52,1.7,3.43,9.62,14.350734,109.01677
2569,4.11,3.74,5.56,0.62,2.9,3.32,15.3756075,77.14484
2570,3.49,1.04,6.7,1.06,2.0,9.92,14.847021,108.30321
2571,3.63,0.45,3.98,0.92,3.25,4.31,17.958384,76.43404
2572,2.08,3.73,3.89,0.64,2.77,2.47,16.443317,70.54431
2573,3.78,1.27,3.5,1.66,0.17,1.02,16.567171,64.38071
2574,4.42,2.72,2.67,1.29,3.5,7.54,17.329647,79.36342
2575,2.21,2.82,4.79,1.35,1.14,8.77,16.65827,106.395065
2576,2.35,0.77,1.38,0.88,0.22,5.98,18.200783,71.74667
2577,1.75,3.79,7.6,0.96,4.31,6.96,10.060675,90.93225
2578,0.9,2.38,1.85,0.44,1.83,3.71,17.37028,65.50346
2579,0.72,2.4,3.07,0.16,0.41,5.05,17.202953,76.686424
2580,2.95,5.0,9.7,1.73,3.12,5.99,7.0787377,83.355194
2581,2.6,1.78,8.4,1.82,3.57,7.56,13.477245,106.9
2582,1.29,2.6,2.23,1.78,0.83,1.93,16.845373,63.68022
2583,4.53,0.59,2.89,1.71,4.27,2.85,20.269571,83.13738
2584,4.92,2.07,7.92,0.77,1.32,3.52,13.004566,83.99322
2585,2.82,4.19,3.56,1.63,1.32,8.82,17.757036,107.947815
2586,3.97,2.17,6.22,0.67,4.03,3.13,14.585558,71.38257
2587,4.89,0.85,8.98,1.73,2.61,4.46,12.357642,88.46759
2588,2.43,3.8,8.24,0.21,0.35,1.42,14.750294,98.99791
2589,4.07,1.11,2.34,1.16,0.14,3.77,17.495207,67.90755
2590,2.82,2.35,4.98,0.8,3.24,8.1,16.026829,90.81941
2591,2.56,0.43,9.08,1.69,1.42,9.65,15.5142,128.70349
2592,4.51,1.07,2.8,1.75,0.8,3.89,17.449152,69.72055
2593,0.85,4.3,0.94,1.51,2.63,8.12,18.12266,91.381386
2594,1.07,4.37,6.84,0.8,0.37,9.35,14.55765,114.963196
2595,4.43,0.25,5.88,0.25,3.03,2.15,15.798599,68.7639
2596,1.36,4.74,6.86,0.75,3.47,1.54,7.398129,53.3102
2597,2.16,1.46,2.76,0.57,2.25,1.82,17.966604,66.18458
2598,4.18,1.05,1.65,0.78,0.93,3.93,18.619545,70.47493
2599,3.7,4.49,5.3,1.12,1.04,6.32,15.237426,91.32696
2600,1.65,2.72,8.05,0.78,0.45,3.46,13.066776,90.17332
2601,1.23,4.01,3.43,1.6,2.1,2.93,17.03598,79.13817
2602,3.75,4.04,2.78,0.71,2.19,9.38,18.545366,104.32897
2603,2.41,0.45,2.92,1.44,3.12,7.4,18.24498,81.202896
2604,4.52,1.88,9.14,0.92,3.56,1.86,10.027249,69.624146
2605,2.49,4.93,3.59,1.38,3.32,5.39,16.59069,89.51522
2606,4.99,1.68,3.82,0.18,4.41,9.0,16.621141,84.16316
2607,3.8,3.57,3.8,0.98,1.31,4.98,17.934938,85.99487
2608,2.01,2.8,3.67,1.55,0.37,7.48,17.524939,95.62999
2609,2.27,0.41,2.95,1.88,4.93,2.84,20.665228,85.81391
2610,4.84,0.82,1.88,1.7,1.69,9.52,17.768793,82.24964
2611,1.43,1.2,7.05,0.95,1.93,6.16,14.179394,92.65471
2612,1.6,4.06,6.9,0.47,3.99,4.05,9.295988,68.9934
2613,0.63,2.42,3.8,1.55,0.98,9.72,16.589777,100.29929
2614,4.48,2.56,8.12,0.34,2.7,7.38,13.225487,102.11364
2615,0.56,2.95,1.43,1.92,1.78,5.13,17.28536,69.11999
2616,4.77,3.03,1.81,1.57,1.9,2.32,17.037264,64.35867
2617,3.54,3.78,4.07,1.92,3.9,9.24,16.596254,100.541336
2618,1.56,4.11,2.79,0.73,2.57,5.96,18.253962,87.93898
2619,4.94,0.37,5.96,1.02,2.99,4.41,15.406818,75.34396
2620,3.34,0.21,9.94,1.31,2.34,3.93,11.464176,88.004005
2621,3.05,1.43,9.37,1.49,4.38,2.14,9.802956,72.063095
2622,4.1,4.85,3.47,1.81,4.45,1.53,15.806454,81.140656
2623,2.36,2.4,8.88,1.91,0.51,6.23,13.450783,108.51438
2624,3.94,4.32,9.13,0.43,0.87,3.68,11.114713,85.71003
2625,1.2,3.05,1.77,1.63,3.83,4.12,17.727972,72.6797
2626,3.93,4.06,9.38,0.31,2.08,7.12,10.16375,93.44476
2627,3.57,2.23,8.26,0.17,2.27,2.84,11.7983,76.51392
2628,3.09,3.5,9.65,0.1,1.15,2.51,10.112115,79.15573
2629,3.11,0.95,7.31,0.82,2.56,2.69,13.4368,72.08895
2630,3.94,3.55,4.76,0.13,2.67,4.28,17.276926,81.07533
2631,1.88,2.73,3.35,1.82,3.18,7.08,17.16477,80.58048
2632,2.85,4.75,2.28,0.26,4.5,1.53,16.367764,77.59714
2633,2.25,2.81,1.04,1.39,0.68,5.25,17.645704,70.709305
2634,4.9,0.23,5.45,1.9,2.16,6.79,15.678322,83.84838
2635,4.5,2.21,3.32,0.64,4.45,1.69,18.42536,77.080025
2636,1.96,1.14,7.66,0.29,4.55,6.02,12.404061,82.278595
2637,1.13,2.71,7.8,1.21,1.53,2.09,12.787966,80.5517
2638,0.77,2.99,5.16,1.55,3.1,8.93,15.736051,102.85561
2639,1.74,4.75,8.65,0.63,3.23,2.41,5.1327305,54.426563
2640,4.65,2.14,5.53,0.38,0.93,5.29,15.901367,87.354454
2641,0.86,3.94,3.48,1.53,2.07,2.95,16.951689,77.926346
2642,4.29,0.14,7.76,1.68,1.49,7.08,14.0746975,99.10612
2643,3.76,0.25,1.76,0.88,1.57,1.62,19.776072,71.721985
2644,2.26,0.5,7.56,0.74,3.45,6.85,13.4616165,89.276886
2645,4.86,4.34,5.08,0.76,1.15,8.35,15.372469,100.5694
2646,0.52,0.48,9.1,0.23,2.29,7.95,13.725583,110.777084
2647,3.05,4.96,7.65,1.3,3.66,0.82,6.097754,52.676926
2648,3.0,2.66,0.62,0.26,4.28,5.69,19.30259,79.62778
2649,3.26,1.15,9.87,0.92,3.39,2.56,9.9350605,75.62433
2650,1.51,3.0,7.84,1.49,3.8,1.13,9.712959,63.5191
2651,3.86,1.17,0.54,1.13,1.29,8.94,18.68525,79.221695
2652,2.7,4.27,6.92,0.9,3.66,6.51,11.090075,87.57335
2653,0.76,4.67,8.29,0.31,2.09,1.78,8.861909,66.0759
2654,0.62,4.62,6.97,0.72,1.46,5.84,12.273335,84.50325
2655,4.89,0.48,9.49,1.46,2.58,9.96,14.790895,125.16986
2656,1.69,2.13,6.55,1.47,0.87,7.76,15.399933,108.8636
2657,3.31,0.96,6.62,0.99,1.2,4.42,14.611465,83.734055
2658,0.71,1.06,1.34,1.67,0.68,8.66,17.597635,76.25996
2659,0.87,2.05,0.77,1.18,1.88,5.72,18.20923,71.14107
2660,1.97,1.97,3.9,1.39,2.42,3.74,16.993189,69.73242
2661,3.73,1.77,4.63,0.99,4.47,3.9,17.08946,77.77589
2662,1.87,2.21,6.88,0.79,1.53,7.63,14.9126,106.49687
2663,2.79,0.96,4.31,1.72,1.62,9.86,15.918741,92.36513
2664,2.18,3.86,4.4,0.71,4.89,0.68,13.904917,64.96261
2665,1.21,0.96,2.6,1.2,4.55,1.67,20.30367,80.12573
2666,1.27,4.05,8.67,1.83,4.31,3.05,6.3336854,67.50302
2667,2.74,2.57,2.05,1.68,3.5,1.87,18.293114,70.80945
2668,3.88,2.21,1.98,1.28,4.99,3.94,19.876135,84.77635
2669,1.89,3.99,2.73,0.37,2.83,3.19,17.032084,73.17691
2670,1.34,2.59,9.22,0.44,3.34,3.58,9.221158,78.37438
2671,0.63,4.21,2.61,0.34,1.67,5.73,17.219915,85.64288
2672,0.8,4.57,2.51,1.24,1.16,3.21,17.749464,92.667206
2673,1.4,1.7,8.68,0.76,4.98,5.99,10.969801,88.62128
2674,2.31,4.49,7.2,0.81,0.19,9.22,14.046432,112.41508
2675,3.17,4.29,0.51,1.01,1.64,1.14,17.642908,82.18955
2676,3.2,3.64,5.79,0.3,2.61,1.41,15.445318,79.629456
2677,2.77,0.33,9.67,1.2,2.67,0.84,10.093352,66.64604
2678,1.6,0.62,6.71,0.82,1.56,9.48,14.872069,105.80037
2679,0.8,1.77,3.7,1.87,1.15,3.76,16.890661,71.28236
2680,0.65,0.86,8.71,1.61,4.4,2.43,10.794428,70.655655
2681,2.73,2.49,1.28,0.58,2.18,7.35,17.801647,74.33813
2682,2.89,2.96,5.31,1.53,0.67,6.89,16.766026,102.69086
2683,1.87,2.52,0.99,0.84,1.0,4.3,17.515598,66.09135
2684,4.75,2.25,4.29,1.2,4.12,4.77,16.870363,77.10422
2685,4.91,2.61,7.99,0.89,3.46,6.91,13.044338,98.35341
2686,1.77,1.72,8.86,1.69,3.34,3.44,11.146055,81.65399
2687,1.24,4.06,2.74,0.34,2.88,5.69,18.021326,84.48697
2688,2.29,0.78,6.98,1.81,1.85,8.11,14.638436,102.53174
2689,4.19,3.85,6.34,1.21,4.53,6.51,11.461901,84.519516
