ID,l_s,l_2,l_1,w_s,w_2,w_1,freq,s_2,s_1
1522,5.6,6.56,6.79,0.7,0.52,0.23,3.15 GHz,0.27,0.31
1523,6.0,6.93,6.57,0.55,0.48,0.12,3.45 GHz,0.3,0.16
1524,6.2,7.34,6.7,0.63,0.59,0.16,3.92 GHz,0.23,0.34
1525,6.46,6.81,7.29,0.58,0.43,0.27,2.84 GHz,0.19,0.32
1526,5.95,7.22,6.52,0.52,0.51,0.12,3.04 GHz,0.25,0.16
1527,6.42,7.05,6.74,0.53,0.53,0.17,2.00 GHz,0.34,0.18
1528,5.51,6.69,6.5,0.66,0.41,0.12,3.99 GHz,0.19,0.2
1529,5.58,6.57,7.47,0.61,0.55,0.22,2.19 GHz,0.31,0.25
1530,5.75,6.97,7.25,0.59,0.49,0.19,830.00 MHz,0.34,0.28
1531,6.04,7.36,7.49,0.52,0.49,0.25,1.52 GHz,0.35,0.31
1532,6.35,6.7,7.01,0.56,0.56,0.26,1.94 GHz,0.18,0.35
1533,6.23,7.1,6.68,0.51,0.51,0.21,950.00 MHz,0.25,0.26
1534,5.66,6.8,7.32,0.59,0.59,0.25,1.36 GHz,0.25,0.17
1535,6.45,7.2,7.02,0.67,0.5,0.16,2.90 GHz,0.24,0.26
1536,5.83,6.54,7.35,0.56,0.51,0.12,1.18 GHz,0.33,0.34
1537,5.56,6.72,7.26,0.59,0.59,0.16,1.36 GHz,0.23,0.33
1538,5.57,7.3,6.91,0.51,0.56,0.28,3.02 GHz,0.34,0.28
1539,5.97,7.32,7.11,0.57,0.56,0.29,1.68 GHz,0.32,0.28
1540,5.69,6.85,7.34,0.65,0.59,0.2,1.20 GHz,0.29,0.15
1541,5.8,6.69,7.27,0.56,0.41,0.12,2.53 GHz,0.22,0.21
1542,5.99,6.89,6.79,0.67,0.58,0.28,2.80 GHz,0.34,0.27
1543,5.86,6.97,7.01,0.6,0.52,0.26,2.87 GHz,0.26,0.25
1544,5.56,6.97,7.14,0.53,0.51,0.28,3.15 GHz,0.3,0.24
1545,5.82,7.01,7.35,0.6,0.48,0.19,1.65 GHz,0.19,0.32
1546,6.49,6.58,7.05,0.6,0.59,0.11,1.17 GHz,0.16,0.31
1547,6.19,6.83,7.23,0.68,0.57,0.13,2.86 GHz,0.24,0.17
1548,5.67,6.75,6.79,0.6,0.4,0.2,2.18 GHz,0.29,0.29
1549,5.67,7.49,6.8,0.58,0.52,0.23,3.38 GHz,0.27,0.3
1550,6.09,6.6,6.65,0.55,0.6,0.15,2.79 GHz,0.19,0.25
1551,5.91,6.6,7.15,0.54,0.49,0.26,3.61 GHz,0.17,0.31
1552,6.11,7.5,6.8,0.62,0.6,0.13,1.86 GHz,0.24,0.33
1553,6.14,7.11,6.51,0.62,0.43,0.24,1.93 GHz,0.34,0.16
1554,6.24,7.36,6.95,0.53,0.52,0.26,2.84 GHz,0.21,0.23
1555,5.76,6.84,6.93,0.55,0.49,0.21,2.85 GHz,0.23,0.28
1556,5.63,6.72,6.69,0.57,0.44,0.2,2.25 GHz,0.33,0.24
1557,6.23,6.82,7.02,0.61,0.54,0.29,2.26 GHz,0.33,0.2
1558,6.49,7.02,6.64,0.64,0.47,0.1,2.34 GHz,0.17,0.24
1559,5.79,7.39,6.56,0.55,0.53,0.2,840.00 MHz,0.18,0.31
1560,6.34,6.86,6.69,0.68,0.57,0.11,1.32 GHz,0.15,0.23
1561,5.59,7.15,7.28,0.58,0.46,0.1,1.77 GHz,0.33,0.22
1562,6.0,6.72,7.35,0.64,0.53,0.13,2.01 GHz,0.34,0.28
1563,5.96,6.65,6.68,0.68,0.59,0.23,1.95 GHz,0.22,0.16
1564,6.11,7.04,6.54,0.66,0.41,0.3,920.00 MHz,0.26,0.19
1565,5.52,7.16,6.95,0.65,0.4,0.18,2.42 GHz,0.22,0.31
1566,6.26,7.0,6.82,0.6,0.57,0.25,2.77 GHz,0.31,0.19
1567,6.29,7.12,6.55,0.59,0.6,0.18,2.11 GHz,0.32,0.32
1568,6.2,6.65,7.19,0.63,0.51,0.22,3.41 GHz,0.19,0.33
1569,5.99,6.71,6.8,0.54,0.48,0.23,2.51 GHz,0.34,0.27
1570,6.08,7.18,7.39,0.52,0.41,0.11,3.60 GHz,0.17,0.33
1571,5.6,7.27,7.4,0.6,0.48,0.18,3.78 GHz,0.22,0.22
1572,6.18,7.12,7.02,0.56,0.44,0.24,1.55 GHz,0.18,0.23
1573,6.28,7.18,6.65,0.64,0.58,0.12,2.11 GHz,0.19,0.18
1574,6.21,7.19,7.45,0.68,0.59,0.25,1.16 GHz,0.3,0.2
1575,6.25,6.74,6.77,0.7,0.51,0.17,3.80 GHz,0.18,0.17
1576,6.47,6.99,7.06,0.67,0.52,0.28,970.00 MHz,0.24,0.29
1577,6.26,6.58,6.65,0.54,0.45,0.29,3.31 GHz,0.29,0.17
1578,6.46,6.77,7.47,0.51,0.46,0.12,1.38 GHz,0.27,0.19
1579,5.62,7.42,6.75,0.53,0.48,0.14,3.10 GHz,0.31,0.23
1580,5.91,6.58,6.87,0.51,0.56,0.18,3.09 GHz,0.17,0.16
1581,5.91,7.06,7.12,0.66,0.57,0.22,3.72 GHz,0.21,0.26
1582,6.49,7.18,6.53,0.66,0.56,0.25,3.02 GHz,0.19,0.3
1583,5.88,6.68,7.34,0.57,0.46,0.15,3.90 GHz,0.27,0.26
1584,6.48,6.66,7.46,0.63,0.59,0.14,2.17 GHz,0.27,0.3
1585,5.65,6.77,6.71,0.62,0.59,0.12,1.78 GHz,0.34,0.25
1586,6.02,6.87,7.23,0.63,0.54,0.25,2.01 GHz,0.34,0.33
1587,5.63,6.76,7.14,0.54,0.51,0.12,2.33 GHz,0.27,0.33
1588,5.71,7.12,7.37,0.52,0.55,0.21,3.76 GHz,0.28,0.24
1589,5.8,6.76,6.96,0.69,0.43,0.14,1.40 GHz,0.22,0.27
1590,6.42,7.49,6.63,0.67,0.43,0.19,1.27 GHz,0.19,0.27
1591,5.8,7.08,6.77,0.63,0.52,0.27,2.04 GHz,0.16,0.23
1592,6.19,7.11,7.1,0.64,0.54,0.23,1.65 GHz,0.29,0.34
1593,6.15,7.1,6.79,0.52,0.58,0.13,2.69 GHz,0.17,0.27
1594,5.91,6.85,6.58,0.61,0.58,0.17,3.85 GHz,0.26,0.34
1595,6.21,7.43,7.27,0.6,0.46,0.16,3.16 GHz,0.21,0.17
1596,5.65,6.87,6.55,0.57,0.58,0.21,3.64 GHz,0.19,0.25
1597,6.11,7.0,7.43,0.7,0.51,0.29,1.74 GHz,0.26,0.26
1598,6.13,6.65,6.99,0.66,0.46,0.29,3.51 GHz,0.3,0.2
1599,5.93,7.04,6.72,0.62,0.52,0.21,2.93 GHz,0.16,0.2
1600,5.69,6.85,7.12,0.57,0.41,0.27,3.06 GHz,0.24,0.28
1601,6.28,6.9,7.16,0.67,0.46,0.16,2.76 GHz,0.34,0.34
1602,6.21,6.5,6.85,0.67,0.55,0.21,2.68 GHz,0.32,0.23
1603,6.23,6.61,6.79,0.57,0.58,0.2,1.07 GHz,0.33,0.19
1604,5.52,6.74,7.45,0.52,0.52,0.26,3.67 GHz,0.28,0.29
1605,6.04,7.48,7.32,0.53,0.42,0.2,3.91 GHz,0.25,0.26
1606,5.71,6.64,6.79,0.64,0.45,0.2,3.52 GHz,0.24,0.32
1607,6.23,6.56,6.66,0.54,0.54,0.25,3.43 GHz,0.33,0.2
1608,6.35,7.17,6.64,0.64,0.49,0.22,850.00 MHz,0.17,0.16
1609,5.93,7.15,6.6,0.68,0.53,0.24,2.95 GHz,0.15,0.21
1610,5.8,7.4,7.45,0.57,0.54,0.12,3.58 GHz,0.27,0.28
1611,6.43,6.86,6.78,0.58,0.58,0.15,2.05 GHz,0.32,0.31
1612,5.54,7.26,7.02,0.66,0.59,0.16,3.29 GHz,0.3,0.33
1613,6.03,7.39,7.39,0.51,0.53,0.12,2.35 GHz,0.3,0.21
1614,6.42,6.76,6.81,0.66,0.58,0.2,2.31 GHz,0.26,0.25
1615,6.45,6.92,7.31,0.6,0.54,0.16,1.86 GHz,0.3,0.3
1616,6.37,7.13,6.63,0.6,0.53,0.16,1.36 GHz,0.28,0.29
1617,5.95,7.07,6.55,0.67,0.56,0.28,3.85 GHz,0.18,0.31
1618,5.89,7.25,6.61,0.56,0.54,0.24,3.28 GHz,0.19,0.34
1619,5.54,6.96,6.75,0.56,0.5,0.15,1.95 GHz,0.25,0.31
1620,6.23,7.09,7.47,0.69,0.56,0.15,3.47 GHz,0.17,0.21
1621,6.31,6.77,6.96,0.66,0.42,0.27,3.08 GHz,0.29,0.17
1622,5.92,7.48,6.55,0.58,0.45,0.18,830.00 MHz,0.18,0.18
1623,5.66,6.54,6.68,0.53,0.47,0.19,2.76 GHz,0.2,0.16
1624,5.66,7.31,7.39,0.66,0.58,0.21,2.59 GHz,0.22,0.26
1625,5.77,7.43,6.69,0.55,0.53,0.25,3.25 GHz,0.25,0.32
1626,6.49,7.1,6.87,0.66,0.43,0.28,2.31 GHz,0.25,0.16
1627,6.45,6.85,7.25,0.6,0.5,0.28,1.78 GHz,0.17,0.22
1628,6.02,6.96,6.74,0.54,0.43,0.18,880.00 MHz,0.26,0.28
1629,5.62,7.07,7.32,0.59,0.58,0.21,1.59 GHz,0.24,0.28
1630,5.9,7.2,7.12,0.53,0.57,0.22,1.07 GHz,0.29,0.17
1631,5.6,7.35,6.85,0.66,0.46,0.12,1.19 GHz,0.29,0.2
1632,5.78,6.77,6.59,0.69,0.55,0.24,2.84 GHz,0.24,0.18
1633,6.3,6.97,7.13,0.64,0.42,0.14,1.91 GHz,0.3,0.29
1634,6.32,6.78,6.58,0.68,0.49,0.21,1.99 GHz,0.27,0.2
1635,6.29,6.67,6.63,0.52,0.56,0.16,3.73 GHz,0.33,0.25
1636,6.37,6.67,6.93,0.53,0.46,0.24,880.00 MHz,0.18,0.26
1637,6.33,7.26,7.12,0.59,0.4,0.22,3.13 GHz,0.23,0.32
1638,5.96,7.07,6.86,0.53,0.57,0.29,1.78 GHz,0.23,0.25
1639,5.74,6.56,6.59,0.53,0.55,0.1,2.89 GHz,0.24,0.16
1640,5.57,6.8,7.43,0.57,0.55,0.22,1.95 GHz,0.19,0.26
1641,6.49,6.75,7.28,0.67,0.6,0.17,2.34 GHz,0.16,0.25
1642,5.97,6.77,6.55,0.67,0.43,0.17,2.71 GHz,0.3,0.22
1643,5.56,6.57,7.03,0.6,0.41,0.22,850.00 MHz,0.25,0.17
1644,6.4,6.85,6.92,0.56,0.46,0.29,830.00 MHz,0.21,0.21
1645,6.3,6.87,6.84,0.69,0.58,0.15,3.38 GHz,0.18,0.15
1646,5.53,6.8,7.17,0.58,0.49,0.28,2.08 GHz,0.19,0.3
1647,6.47,6.53,7.36,0.57,0.41,0.22,3.17 GHz,0.26,0.24
1648,6.0,7.27,6.97,0.52,0.45,0.17,2.43 GHz,0.33,0.18
1649,6.13,7.38,6.97,0.59,0.5,0.19,3.49 GHz,0.33,0.25
1650,5.96,7.39,7.26,0.67,0.59,0.16,1.87 GHz,0.15,0.25
1651,6.24,7.34,7.44,0.59,0.46,0.19,3.47 GHz,0.21,0.24
1652,6.16,6.61,6.64,0.64,0.53,0.14,1.83 GHz,0.31,0.2
1653,6.35,6.59,7.47,0.7,0.5,0.17,3.70 GHz,0.32,0.22
1654,5.6,7.34,7.32,0.61,0.58,0.15,2.57 GHz,0.32,0.18
1655,5.86,7.44,7.01,0.62,0.55,0.22,3.20 GHz,0.29,0.32
1656,5.86,7.39,6.87,0.54,0.43,0.27,3.78 GHz,0.16,0.24
1657,6.29,6.5,6.55,0.64,0.46,0.27,2.34 GHz,0.17,0.32
1658,5.72,6.54,7.35,0.56,0.55,0.18,3.47 GHz,0.17,0.33
1659,6.32,7.49,7.32,0.65,0.49,0.29,2.62 GHz,0.23,0.3
1660,6.11,6.67,7.02,0.61,0.42,0.16,1.37 GHz,0.19,0.16
1661,5.65,6.6,7.21,0.57,0.53,0.15,2.97 GHz,0.19,0.34
1662,6.07,6.88,7.38,0.5,0.57,0.11,1.83 GHz,0.29,0.31
1663,6.05,6.52,6.56,0.61,0.52,0.1,2.01 GHz,0.16,0.23
1664,6.28,7.43,6.94,0.52,0.59,0.14,1.96 GHz,0.3,0.31
1665,6.14,7.33,7.37,0.64,0.48,0.24,2.44 GHz,0.22,0.31
1666,5.63,7.27,7.41,0.51,0.42,0.27,2.99 GHz,0.32,0.29
1667,5.54,6.71,7.06,0.54,0.57,0.22,1.67 GHz,0.27,0.21
1668,5.67,7.35,6.79,0.55,0.53,0.3,1.75 GHz,0.21,0.33
1669,6.32,7.27,7.02,0.54,0.51,0.11,3.04 GHz,0.26,0.18
1670,5.72,7.01,6.56,0.67,0.47,0.21,2.90 GHz,0.28,0.16
1671,5.98,7.25,6.52,0.67,0.59,0.21,3.28 GHz,0.29,0.33
1672,6.25,7.11,7.07,0.69,0.42,0.29,3.62 GHz,0.32,0.21
1673,5.84,6.66,7.36,0.63,0.47,0.17,2.38 GHz,0.25,0.21
1674,6.26,6.75,7.3,0.51,0.56,0.12,2.95 GHz,0.21,0.16
1675,5.86,7.15,6.83,0.68,0.51,0.15,1.36 GHz,0.18,0.3
1676,5.89,6.65,7.41,0.63,0.42,0.18,3.47 GHz,0.2,0.17
1677,5.95,7.14,7.18,0.65,0.6,0.17,2.60 GHz,0.24,0.26
1678,5.75,7.07,6.87,0.69,0.54,0.14,3.53 GHz,0.15,0.3
1679,6.21,7.05,6.73,0.59,0.56,0.28,2.84 GHz,0.19,0.18
1680,6.13,7.25,6.99,0.6,0.55,0.26,2.21 GHz,0.19,0.29
1681,6.06,7.42,7.47,0.57,0.43,0.21,3.60 GHz,0.33,0.18
1682,5.93,6.74,7.46,0.67,0.48,0.19,970.00 MHz,0.32,0.32
1683,5.96,7.01,6.89,0.62,0.42,0.13,4.00 GHz,0.2,0.32
1684,5.62,6.8,7.41,0.5,0.49,0.19,2.48 GHz,0.16,0.32
1685,5.97,6.69,6.83,0.56,0.58,0.18,3.87 GHz,0.21,0.17
1686,6.11,7.0,7.14,0.55,0.5,0.25,1.08 GHz,0.27,0.22
1687,6.32,7.21,6.93,0.54,0.5,0.18,1.93 GHz,0.18,0.3
1688,5.75,7.21,7.46,0.59,0.47,0.24,1.65 GHz,0.28,0.24
1689,6.35,7.02,6.52,0.7,0.52,0.12,1.58 GHz,0.34,0.34
1690,5.78,6.93,6.74,0.61,0.57,0.17,2.18 GHz,0.24,0.32
1691,6.14,7.13,6.87,0.62,0.59,0.29,1.47 GHz,0.29,0.32
1692,5.86,6.8,7.21,0.69,0.51,0.11,1.76 GHz,0.3,0.29
1693,5.51,6.79,6.63,0.52,0.59,0.26,2.67 GHz,0.34,0.29
1694,6.27,7.04,6.76,0.61,0.42,0.1,2.12 GHz,0.28,0.3
1695,6.31,7.01,6.77,0.57,0.44,0.15,2.44 GHz,0.25,0.19
1696,5.74,7.31,7.29,0.52,0.46,0.14,1.02 GHz,0.18,0.27
1697,5.51,7.43,7.11,0.51,0.48,0.28,2.66 GHz,0.32,0.23
1698,5.52,7.06,6.82,0.54,0.59,0.16,940.00 MHz,0.28,0.18
1699,6.3,7.47,7.06,0.63,0.6,0.12,2.41 GHz,0.19,0.28
1700,6.22,7.49,7.13,0.66,0.59,0.25,2.98 GHz,0.33,0.22
1701,6.34,6.77,7.45,0.67,0.43,0.13,3.54 GHz,0.28,0.31
1702,5.72,6.76,7.29,0.57,0.55,0.16,3.13 GHz,0.3,0.2
1703,5.63,6.83,6.72,0.69,0.55,0.11,950.00 MHz,0.22,0.34
1704,5.51,6.84,6.64,0.52,0.43,0.23,1.75 GHz,0.23,0.31
1705,6.13,6.73,6.72,0.55,0.54,0.12,1.19 GHz,0.25,0.19
1706,5.64,7.06,6.74,0.69,0.46,0.28,2.67 GHz,0.21,0.29
1707,6.22,7.27,7.15,0.61,0.46,0.19,1.43 GHz,0.29,0.19
1708,5.74,7.25,6.72,0.51,0.5,0.18,2.33 GHz,0.21,0.27
1709,6.03,6.96,7.21,0.61,0.59,0.16,2.79 GHz,0.29,0.28
1710,5.88,6.71,7.19,0.55,0.43,0.23,1.73 GHz,0.26,0.17
1711,5.52,7.01,6.56,0.68,0.43,0.26,1.67 GHz,0.25,0.17
1712,6.41,7.4,7.03,0.63,0.46,0.28,3.55 GHz,0.19,0.23
1713,5.67,7.43,6.94,0.55,0.42,0.14,920.00 MHz,0.27,0.15
1714,5.51,6.81,7.32,0.63,0.52,0.3,1.34 GHz,0.33,0.32
1715,6.36,7.43,7.02,0.56,0.44,0.21,3.50 GHz,0.28,0.19
1716,6.3,6.89,7.29,0.58,0.53,0.2,3.84 GHz,0.28,0.25
1717,6.22,6.85,6.67,0.52,0.43,0.18,2.35 GHz,0.19,0.17
1718,5.74,7.29,6.53,0.68,0.53,0.28,2.96 GHz,0.29,0.2
1719,6.13,6.83,6.64,0.63,0.59,0.11,2.62 GHz,0.34,0.16
1720,6.18,7.23,6.65,0.53,0.52,0.11,2.05 GHz,0.3,0.21
1721,6.08,7.08,7.1,0.64,0.57,0.16,3.47 GHz,0.3,0.26
1722,5.74,7.06,7.45,0.52,0.46,0.18,1.25 GHz,0.2,0.29
1723,6.04,6.62,7.09,0.59,0.56,0.24,1.30 GHz,0.21,0.34
1724,5.85,6.5,6.52,0.59,0.42,0.13,1.35 GHz,0.24,0.3
1725,6.18,6.74,6.93,0.64,0.46,0.11,870.00 MHz,0.2,0.2
1726,6.02,6.87,6.9,0.57,0.45,0.19,3.77 GHz,0.35,0.27
1727,6.2,7.39,7.29,0.61,0.43,0.18,840.00 MHz,0.31,0.22
1728,6.12,6.91,6.78,0.58,0.51,0.17,1.38 GHz,0.3,0.18
1729,5.91,6.93,6.55,0.69,0.5,0.21,2.31 GHz,0.25,0.25
1730,5.53,6.86,7.02,0.58,0.52,0.12,3.39 GHz,0.3,0.16
1731,5.93,7.42,7.49,0.58,0.54,0.23,2.71 GHz,0.19,0.29
1732,6.31,7.31,7.32,0.54,0.56,0.11,3.61 GHz,0.26,0.28
1733,6.11,7.21,6.59,0.54,0.57,0.27,1.75 GHz,0.26,0.23
1734,6.15,7.0,6.79,0.62,0.58,0.28,1.47 GHz,0.18,0.19
1735,5.89,7.13,7.5,0.68,0.56,0.22,3.32 GHz,0.3,0.18
1736,6.3,6.82,7.04,0.51,0.55,0.22,3.29 GHz,0.26,0.26
1737,6.12,7.09,6.54,0.5,0.58,0.27,920.00 MHz,0.27,0.3
1738,6.4,6.99,6.57,0.6,0.49,0.24,2.38 GHz,0.28,0.31
1739,5.57,7.25,7.26,0.55,0.53,0.29,2.06 GHz,0.2,0.28
1740,6.39,7.08,7.47,0.54,0.53,0.3,3.47 GHz,0.31,0.25
1741,6.08,6.9,7.49,0.5,0.52,0.15,3.19 GHz,0.32,0.2
1742,5.73,7.4,6.93,0.51,0.59,0.22,3.91 GHz,0.35,0.21
1743,6.27,7.3,7.05,0.52,0.52,0.22,1.85 GHz,0.34,0.25
1744,6.3,6.68,7.0,0.56,0.47,0.25,3.42 GHz,0.32,0.27
1745,5.79,6.7,6.81,0.53,0.51,0.15,1.01 GHz,0.18,0.28
1746,5.82,6.83,6.75,0.63,0.6,0.21,1.87 GHz,0.2,0.17
1747,5.56,6.86,7.16,0.5,0.53,0.11,970.00 MHz,0.33,0.19
1748,6.29,6.97,7.31,0.62,0.52,0.25,1.32 GHz,0.23,0.32
1749,5.57,6.97,6.73,0.57,0.56,0.22,3.13 GHz,0.29,0.29
1750,6.03,6.63,6.59,0.63,0.46,0.12,3.38 GHz,0.25,0.25
1751,6.0,6.56,7.47,0.58,0.49,0.17,3.26 GHz,0.31,0.31
1752,5.9,7.11,7.06,0.61,0.4,0.22,1.61 GHz,0.33,0.24
1753,6.22,6.53,6.69,0.56,0.52,0.15,2.91 GHz,0.27,0.23
1754,5.88,7.09,7.37,0.65,0.5,0.14,1.76 GHz,0.31,0.28
1755,6.44,7.5,7.15,0.59,0.56,0.24,1.99 GHz,0.2,0.27
1756,6.47,6.58,6.65,0.51,0.52,0.28,3.47 GHz,0.17,0.33
1757,6.18,6.8,6.93,0.58,0.42,0.24,800.00 MHz,0.29,0.24
1758,5.61,6.5,7.28,0.57,0.45,0.24,3.51 GHz,0.16,0.25
1759,6.36,7.21,7.46,0.67,0.44,0.22,3.35 GHz,0.17,0.16
1760,5.64,7.26,7.35,0.54,0.55,0.15,3.11 GHz,0.25,0.31
1761,6.23,7.19,6.93,0.61,0.58,0.12,1.86 GHz,0.3,0.24
1762,5.53,6.75,7.1,0.56,0.57,0.14,1.45 GHz,0.24,0.31
1763,5.87,7.41,7.46,0.64,0.52,0.17,3.97 GHz,0.21,0.18
1764,6.08,7.07,7.18,0.63,0.49,0.19,3.20 GHz,0.3,0.21
1765,6.47,7.47,6.85,0.67,0.43,0.23,1.99 GHz,0.34,0.25
1766,5.91,7.14,7.12,0.57,0.55,0.13,2.96 GHz,0.22,0.32
1767,6.25,6.7,7.45,0.56,0.47,0.28,3.69 GHz,0.16,0.31
1768,6.47,6.81,6.73,0.58,0.51,0.1,2.00 GHz,0.22,0.22
1769,5.75,7.19,6.58,0.66,0.57,0.29,1.43 GHz,0.3,0.27
1770,6.38,7.13,6.61,0.53,0.57,0.17,1.61 GHz,0.24,0.34
1771,5.57,6.97,6.96,0.69,0.57,0.27,3.94 GHz,0.3,0.28
1772,6.18,7.44,7.21,0.6,0.47,0.28,3.75 GHz,0.22,0.2
1773,5.97,6.62,7.34,0.69,0.49,0.27,2.02 GHz,0.19,0.21
1774,6.24,6.84,6.55,0.61,0.47,0.12,1.83 GHz,0.31,0.33
1775,6.27,7.15,7.08,0.51,0.4,0.28,1.60 GHz,0.22,0.26
1776,6.3,7.1,6.63,0.55,0.55,0.13,2.72 GHz,0.22,0.25
1777,5.55,6.54,7.1,0.5,0.53,0.11,1.36 GHz,0.18,0.16
1778,5.57,6.92,6.88,0.62,0.47,0.28,2.18 GHz,0.29,0.15
1779,6.17,6.99,7.16,0.57,0.56,0.25,2.04 GHz,0.19,0.19
1780,5.56,6.64,6.56,0.64,0.43,0.27,2.17 GHz,0.28,0.17
1781,6.47,6.75,7.18,0.55,0.49,0.11,2.52 GHz,0.23,0.22
1782,5.59,7.14,7.06,0.59,0.59,0.23,1.09 GHz,0.22,0.16
1783,5.88,7.35,6.98,0.67,0.48,0.15,3.80 GHz,0.24,0.28
1784,6.45,6.96,6.93,0.66,0.52,0.13,2.39 GHz,0.27,0.27
1785,5.7,7.31,7.16,0.5,0.54,0.26,3.65 GHz,0.27,0.17
1786,5.7,7.22,7.2,0.69,0.59,0.27,3.21 GHz,0.3,0.22
1787,5.55,6.92,7.37,0.59,0.41,0.17,1.95 GHz,0.16,0.26
1788,5.94,7.36,7.1,0.55,0.56,0.17,2.88 GHz,0.28,0.32
1789,5.52,6.71,7.39,0.68,0.52,0.22,3.81 GHz,0.27,0.21
1790,5.53,7.01,6.72,0.56,0.59,0.17,1.23 GHz,0.32,0.22
1791,6.34,7.36,6.99,0.6,0.54,0.27,2.01 GHz,0.27,0.32
1792,6.36,7.02,7.19,0.54,0.51,0.25,3.16 GHz,0.19,0.24
1793,6.25,6.93,6.75,0.63,0.59,0.24,2.23 GHz,0.18,0.32
1794,5.76,7.17,7.15,0.58,0.48,0.24,1.66 GHz,0.21,0.32
1795,6.26,6.92,6.82,0.56,0.4,0.22,1.75 GHz,0.19,0.3
1796,6.05,6.6,7.42,0.5,0.59,0.2,1.33 GHz,0.29,0.24
1797,6.18,6.68,7.38,0.64,0.53,0.2,1.96 GHz,0.29,0.28
1798,5.84,6.51,6.83,0.55,0.59,0.24,1.84 GHz,0.29,0.17
1799,6.42,7.04,7.02,0.51,0.57,0.19,2.98 GHz,0.31,0.25
1800,6.15,7.45,7.38,0.68,0.58,0.16,1.16 GHz,0.26,0.22
1801,5.6,6.98,6.72,0.53,0.4,0.12,2.84 GHz,0.17,0.22
1802,6.11,6.95,6.8,0.63,0.44,0.26,2.78 GHz,0.29,0.34
1803,5.97,6.54,6.63,0.53,0.56,0.14,1.18 GHz,0.29,0.22
1804,6.5,6.9,7.31,0.67,0.52,0.18,2.40 GHz,0.25,0.28
1805,6.24,6.8,6.73,0.52,0.48,0.19,1.54 GHz,0.19,0.23
1806,5.79,7.34,7.4,0.67,0.55,0.1,3.13 GHz,0.21,0.26
1807,5.91,6.82,7.31,0.68,0.57,0.29,890.00 MHz,0.35,0.2
1808,5.94,6.9,6.79,0.67,0.56,0.2,2.32 GHz,0.31,0.33
1809,6.45,6.53,7.03,0.63,0.48,0.14,3.46 GHz,0.19,0.24
1810,6.04,6.53,6.75,0.55,0.5,0.13,2.62 GHz,0.23,0.24
1811,6.28,6.68,6.94,0.54,0.5,0.21,2.72 GHz,0.35,0.3
1812,5.97,6.83,6.53,0.61,0.42,0.11,3.65 GHz,0.34,0.16
1813,5.75,7.17,6.51,0.58,0.48,0.12,3.63 GHz,0.22,0.26
1814,6.45,7.01,7.19,0.63,0.58,0.22,1.73 GHz,0.2,0.26
1815,6.13,6.74,6.66,0.63,0.54,0.19,2.03 GHz,0.34,0.32
1816,6.35,6.56,7.4,0.65,0.41,0.15,2.03 GHz,0.17,0.3
1817,6.42,6.59,7.06,0.67,0.5,0.16,2.63 GHz,0.19,0.24
1818,6.06,6.67,6.69,0.66,0.57,0.29,2.32 GHz,0.23,0.21
1819,6.29,7.39,7.46,0.61,0.48,0.13,3.81 GHz,0.32,0.34
1820,6.1,6.71,7.12,0.69,0.47,0.19,3.06 GHz,0.33,0.17
1821,5.63,7.42,7.08,0.67,0.48,0.21,3.88 GHz,0.24,0.15
1822,6.33,6.72,7.15,0.51,0.43,0.27,1.41 GHz,0.3,0.25
1823,6.32,7.44,7.12,0.66,0.44,0.27,1.98 GHz,0.27,0.27
1824,5.86,7.36,6.53,0.64,0.45,0.16,3.07 GHz,0.28,0.26
1825,5.89,7.09,6.87,0.63,0.6,0.2,2.45 GHz,0.31,0.31
1826,5.65,6.66,6.92,0.67,0.53,0.2,2.02 GHz,0.21,0.21
1827,6.25,6.8,7.35,0.53,0.56,0.25,850.00 MHz,0.22,0.22
1828,6.06,7.13,7.27,0.64,0.58,0.16,1.95 GHz,0.31,0.22
1829,6.19,6.86,7.43,0.55,0.46,0.29,3.10 GHz,0.33,0.21
1830,5.6,6.7,6.95,0.52,0.48,0.24,1.15 GHz,0.31,0.32
1831,6.41,6.55,6.59,0.56,0.5,0.22,3.53 GHz,0.19,0.26
1832,6.09,6.78,6.71,0.64,0.53,0.29,3.64 GHz,0.3,0.31
1833,5.59,6.86,6.92,0.69,0.41,0.11,1.18 GHz,0.28,0.32
1834,6.11,6.81,6.86,0.56,0.6,0.21,3.02 GHz,0.16,0.18
1835,6.15,7.18,7.14,0.69,0.54,0.13,2.11 GHz,0.35,0.3
1836,6.43,6.91,7.27,0.63,0.47,0.27,1.36 GHz,0.32,0.23
1837,6.34,6.83,6.82,0.52,0.52,0.26,2.57 GHz,0.31,0.23
1838,5.52,6.51,7.22,0.59,0.55,0.29,2.49 GHz,0.26,0.35
1839,6.16,6.97,7.08,0.58,0.49,0.2,1.56 GHz,0.26,0.23
1840,5.72,6.61,6.51,0.65,0.47,0.27,3.21 GHz,0.22,0.16
1841,5.93,7.49,7.01,0.61,0.47,0.11,980.00 MHz,0.34,0.25
1842,5.51,7.1,6.6,0.67,0.49,0.15,1.44 GHz,0.26,0.35
1843,5.74,7.18,6.71,0.68,0.55,0.27,1.39 GHz,0.18,0.21
1844,6.04,6.83,7.08,0.67,0.53,0.15,1.72 GHz,0.25,0.23
1845,5.84,6.96,6.75,0.61,0.47,0.28,1.19 GHz,0.18,0.29
